,formula,disorder
46463,As3 Ca5,0
46464,Fe1 O0.06 Se0.44 Te0.5,3
46465,Ce0.7 La0.1 O2 Pr0.1 Sm0.1,1
46466,O8 P4,0
46467,Cu1 K2 P3 S9,0
46468,Pt1 Sb1 Sc1,0
46469,Ag2 Mn1 O8 Sr1 V2,0
46470,Mo0.836 Rh1.164,1
46471,La0.85 Mn1 Na0.14 O2.97,3
46472,Bi4 Ca1 Cl2 O6,1
46473,Br3 Li6 N1,2
46474,Hf10 Ni1 Sb18,2
46475,Ba1.5 Ca0.5 Cu3 La1 O7.14,3
46476,Li1 Mo1 O2,0
46477,Ca1 Cu3 Ga2 O12 Ru2,1
46478,Cu3.94 S7.36 Sn1.54 Zn2.52,3
46479,Co3 Ni2 Th1,1
46480,O7 Pr2 Zr2,0
46481,Al92 Cs45.3 Na46.7 O384 Si100,3
46482,Gd5 Rh3,0
46483,Al0.2 Fe1.8 Zr1,1
46484,In0.6 Na1 O6 Sc0.4 Si2,1
46485,Cr5 Se8,0
46486,Cr0.05 La0.5 Mn0.95 O3 Sr0.5,1
46487,Al1.67 Ba6 O15 Rh2.33 Yb2,3
46488,Al1.976 Cr0.025 Mg0.994 O4 Zn0.004,1
46489,Ge0.2 Se0.2 Sn0.8 Te0.8,1
46490,Er2.7 Mn23 Pr3.3,1
46491,Ca0.4 Cu2 Lu0.6 O6.94 Sr2 Tl0.97,3
46492,F6 Ir1 Rb2,0
46493,Cl2 Cu2 O6 Pb1 Se2,0
46494,Pb0.2 Sn0.8 Te1,1
46495,Cs2 Se5,0
46496,C3 B2 Th3,0
46497,Ba1 Nb0.5 O3 Y0.5,1
46498,Ga0.8 In0.2 Sb1,1
46499,Al1 N1 Ti2,0
46500,Au1 Lu1 Ni4,0
46501,O6 Sm1 V1 W1,0
46502,Co4 Dy11 In9,0
46503,Au1 Cl4 Tl1,0
46504,Ca0.7 Mn7 O12 Sr0.3,1
46505,Ce0.6 O2 Th0.4,1
46506,Cr0.05 Fe0.95 O2.78 Sr1,3
46507,As1 Cl1 Hg3 S4,0
46508,Cl3 Cs1 Hg1,2
46509,Co1 Mn2 Sn1,0
46510,Fe5.36 Li0.64 O8,1
46511,Ba1 Fe0.8 Ir0.2 O2.932,3
46512,Al2 Ca0.91 Na0.09 O8 Si2,3
46513,Al1.8 Co0.2 Zr1,1
46514,K1 O12 P4 Pr1,0
46515,La2 Ni2 Zn1,0
46516,O3 Xe1,0
46517,Mg1 P4,0
46518,Ag0.6 Ga1 La3 Se7,2
46519,Ca0.95 Eu0.05 Hf1 O3,1
46520,Cu5.14 Y0.82,3
46521,Ru1 Sb2 Te1,1
46522,Ba2 Ca1 Mo1 O6,0
46523,C5 Cl1 Mn1 O5,0
46524,Bi1.84 O6 W1 Zn0.16,1
46525,C1 Al0.05 Ga0.95 Mn3,1
46526,I3 Rh1 Te6,0
46527,Br6 Cs4 Sn1,0
46528,Ba3 P14,0
46529,Fe1 Ga1 Ge1,1
46530,Co0.3 Cr0.7 Dy1 O3,1
46531,Ba0.85 Fe2 O5.03 Sm1 Sr0.15,3
46532,Al1.784 O4 Ti0.108 Zn1.108,1
46533,K0.8 Na0.2 O12 Pb4 V3,1
46534,Al1 Lu1 Pt1,0
46535,Co7 Th2,0
46536,As2 In1 O7 Tl1,0
46537,B2 Ce0.5 La0.5 Rh3,1
46538,Mn0.6 Ni0.4 Te1,1
46539,Fe0.5 O6.5 Pb2 Sb1.5,3
46540,C1 F3 O1 Rb1,3
46541,Er2 O12 S3,0
46542,La0.35 O4 Pb0.65 W1,3
46543,O7 Se2 V1 Zn1,0
46544,Co0.04 La0.712 Mn0.96 O3 Sr0.288,1
46545,Ga17.3 Lu5 Ni14.7,0
46546,Co0.9 Fe0.1 Nd0.3 O2.65 Sr0.7,3
46547,Eu8 Ga16 Ge30,3
46548,C2 I4 O2 Pt2,0
46549,Dy11 Sn10,0
46550,Ga3.33 Y2,0
46551,Al11 Li1 N14 Sr4,1
46552,Ca1 Nd1 O6 Ru1 Sr1,1
46553,Au0.43 Pd1.73 Zn10.54,3
46554,As1 O1 Y1 Zn1,0
46555,Au2 P3,0
46556,La0.889 Mn1 O3,2
46557,K3 Nd1 O17 Si7,0
46558,Fe1 O6 Ta2,1
46559,Fe3 Si1 U2,1
46560,Eu0.25 Na0.25 O12 P3 Ti2,1
46561,Ga1.7 Gd1 Ni0.3,1
46562,C1 Hg1 N2 O3,2
46563,Ca0.134 O1.866 Zr0.866,3
46564,Cu2 Lu1 Si2,0
46565,Rh5.5 Sn18 Tb5,2
46566,Ce0.04 O3 Pb0.96 Ti0.7 Zr0.3,1
46567,Ca14 Ga10 O35.25 Zn6,3
46568,Cr7 Si8 Ta4,1
46569,C1 O9 Sc2 Sr4,2
46570,Cu1.926 Ge1.008 Se4 Zn1.027,2
46571,Ca0.35 Ge2 Pb1 Sr1.65,1
46572,Al0.2 Ca1 Mn6.8 O12,1
46573,Al1.46 B1 Fe12.54 Y2,1
46574,Ag0.72 Dy3 Se7 Si1,2
46575,B6 Eu4 Fe3,0
46576,B1 Co2 Fe12 Nd1.9 Ti0.1,1
46577,As1.052 Mo4.987 Si1.948,3
46578,Ho1 Pd2 Si2,0
46579,Ba4 Ga1 Nb9 O30 Sr2,1
46580,P12 Pr1 Ru4,0
46581,Al0.3 Hf0.7 Mo2,1
46582,K5 O10 V3,0
46583,Eu0.3 Fe1 Mo1 O6 Sr1.7,1
46584,Dy0.09228 O1 Zn0.86128,3
46585,Ba2 Ca0.79 Fe0.23 Nb0.98 O5.59,3
46586,C2 Fe1 Gd1,0
46587,Cs1 Nb1 O7 Ti2,1
46588,Co0.15 O2 Ru0.85,1
46589,Al0.0524 Co0.1494 Li0.9894 Ni0.8088 O2,1
46590,Fe0.5 O7 Sr3 Ti1.5,1
46591,Co1 Cu1 O7 P2,0
46592,F3 K1 V1,0
46593,B4 Ir2 La1 Os2,1
46594,B1 Ba2 Cl17 Zr6,0
46595,Al5 Ni2 Pr1,0
46596,Al0.68 Ni3 Ta0.32,1
46597,Au1 Gd1 Sn1,1
46598,B4 Cs4 Mg4 O12,0
46599,Cs3.41 Fe2 O5 Rb2.59,1
46600,Sb0.133 Sn0.8 Te1,3
46601,Gd0.1 O3 Y1.9,1
46602,Ca0.33 Ce0.33 O1.67 Th0.33,3
46603,O28 Sr9 Tm1 V7,0
46604,Ca3 Mg1 O8 Si2,0
46605, Al1.93 Cr0.002 Fe0.897 Mg0.149 Mn0.007 O4 Si0.001 Ti0.006 V0.004 Zn0.004,1
46606,Ba1 F11 Li1 Zr2,0
46607,Cs2 Mn1 S2,0
46608,Na0.68 O3 Sr0.29 Ta1,3
46609,F1 I1 Mo1 O7 Th1,0
46610,Co0.3 Fe0.7 Nd0.9 O2.93 Sr0.1,3
46611,Co0.95 Dy1 Ni0.05 O3,1
46612,Cu1 P2 Y1,0
46613,Ca1 Cu1 O2,0
46614,Fe16.74 Gd2 Ti0.57,3
46615,Al6.5 Nb1.63 Zr4.88,1
46616,Cu2.66 Ge1.33 S3.99,1
46617,Au3.69 Ba4 Ge2 Te9,2
46618,Ag1 La1 O1 S1,0
46619,Fe0.5 Si1.5 U1,1
46620,Ge136 Na22.8,2
46621,Cl2 La3 Si3,0
46622, Al0.219 Cr1.56 Fe0.597 Mg0.574 Mn0.009 Ni0.003 O4 Ti0.036,1
46623,Bi1 S3 Sb1,1
46624,Ba3 Cl2 Li1 S6 Sb1,2
46625,As1 La1 S1,0
46626,Al0.1 Ba0.3 La0.7 Mn0.9 O3,1
46627,O6 Pb2 Sc1 Te0.5 Ti0.5,3
46628,Cs1 Se2 Tb1,0
46629,K2 Li6 O8 Pb2,0
46630,C1 La2 O5,2
46631,Li6 Ni1 O12 Se4,0
46632,Ca3 Fe1.88 O12 Si3,2
46633,Al5.1 Ba44.52 Cu23.23 O83.84,2
46634,Ce0.1 Co1 O2.75 Sr0.9,3
46635,Cd1.025 F2 O24 P6 Sr8.975,1
46636,Ge1 Lu1 Mo0.15 Ti0.85,1
46637,Fe2 Si2 Y1,0
46638,Ge1 Pt1 Zr1,0
46639,K1.8 Li2.45 O16 Sb5.55,3
46640,Ba0.476 Nb2 O6 Sr0.524,3
46641,Ni2 Sm4 Sn7,2
46642,Fe1 Li0.5 O4 V1.5,1
46643,Ba2 In1.76 Mn0.24 O5.24,3
46644,Ni17 Th2,0
46645,Ce0.1 Gd0.9 Ni3,1
46646,Al1 Ce1 Pd0.69 Pt0.31,1
46647,Br4 Pd4 Te3,0
46648,Cr1.2 Ni0.8 Zr1,1
46649,Gd1.28 Nb1 O7 Y1.72,1
46650,Bi1.445 O6.889 Ru2 Sr0.507,3
46651,Ca0.33 Cu0.2 La0.67 Mn0.8 O3,1
46652,Ge1 Mn2 Ru1,1
46653,Al2 Ge2 Y1,0
46654,Co1 Ho7 I12,0
46655,Cd1 Pt1,0
46656,Mg0.333 Nb0.667 O3 Pb1,3
46657,La1 Pd3 Si0.3,2
46658,As0.54 Ga1 P0.46,1
46659,Na1 O6 Sc1 Se2,0
46660,B1 Er2 Fe12 Si2,1
46661,Ga4 Lu1 Ni1,0
46662,Co1 Mn0.9 Si1 Ti0.1,1
46663,Be2 Cr2 S14 Sm6,0
46664,K6 O1 S18 Ti6,3
46665,Ga0.25 Li0.16 O3 Sr0.69 Ta0.75,3
46666,Ca1 Mn3 O15 Si5 Zn1,0
46667,Cd0.3 Cu2 Fe0.7 Se4 Sn1,1
46668,Ba1.31 Pb9 Sr1.68,1
46669,Ag1 Cu1 F3,0
46670,Co0.8 Pt0.2,1
46671,Ca1 Fe1.5 O12 P3 Sb0.5,1
46672,Ca2 Fe0.18 Nb0.29 O16 Ti1.5 Zr5,3
46673,La10.488 Mn0.276 S16,3
46674,Co0.2 Mn0.2 Ni0.6 O1,1
46675,Co1 Nb1 Sn1,1
46676,Mn12 P7 Sm2,0
46677,Ga4 In5 O14 Rb1,2
46678,Ba6 Br3 N17 O9 P12,1
46679,Ba1 Ca1 Dy2 F10,3
46680,Ca0.68 O5 Si1 V1 Yb0.32,1
46681,C0.4 B0.87 N0.73,1
46682,Ba2 Ce1 Ga1 Se5,0
46683,Bi4.69 Cu1.57 I0.36 Se7.64,3
46684,Bi1 In2 O7 Ta1,1
46685,Bi1 Gd1,0
46686,Bi2 Pb2 S5,0
46687,Cu1.8 Ge2 Ni0.2 U1,1
46688,Al3 Co1,2
46689,Ba0.03 F2.97 La0.97,3
46690,Cu0.72 Pb2.72 S11 Y5.28,3
46691,Cu1 K1 Se1,0
46692,As2 Co2 O7,0
46693,Bi0.925 Fe1 Ho0.075 O3,1
46694,Er0.75 Mg0.25,1
46695,Al1.66 Fe0.34 Sc1,1
46696,Na14.67 O36 Sc3 Si12,2
46697,Ag6 Ge2 O7,0
46698,O4 Ta0.14 Ti0.86 Zn1.93,3
46699,Nd2 Se4 Sr1,1
46700,Lu2 O6.56 V2,2
46701,Bi1.34 S3 Sm0.66,1
46702,Ni1 Se4 Si2,0
46703,Ag0.3 Al1.7 Pr1,1
46704,Ga10.95 La0.83 Mg1 O19,3
46705,As2 Fe1 Li1 O7,0
46706,Al0.5 Cl0.35 Li2.15 S1.65,3
46707,Fe0.4 Ni0.5 Pt0.1,1
46708,Au1 Gd1 Ni4,0
46709,Pb1 S0.07 Se0.07 Te0.86,1
46710,Al1.4 Co0.6 Gd1,1
46711,B3.376 Eu0.675 O10.312 Si0.624 Sr2.987,3
46712,Ce1 In2 Ir1,0
46713,Eu1 Mg2 Pd0.992,2
46714,As1 Be1 O4 Tl1,2
46715,K4 Si4 Te10,2
46716,Bi1.4 Cd1.4 Cl3 O2,3
46717,Ba2 Li2 O40 P12 Pb7,0
46718,Al3.06 Cl2 Ga2.94 Na8 O24 Si6,1
46719,Ba1 Cu0.82 Nd2 O5 Pt0.18,1
46720,K4 O3 Sb2,0
46721,Ag4 Al7 Ca1,1
46722,Dy0.07 O3 Sr0.93 Zr1,1
46723,Bi7.89 Cu1.12 Fe0.88 Pb12 S35 Sb6.11,1
46724,Cs1 K1 Li13 Na1 O16 Si4,2
46725,Ce0.2 Mn1 O3 Pr0.15 Sr0.65,1
46726,Cu12.32 In18.04 Se32,3
46727,Nb3 Si0.6 Sn0.4,1
46728,Pr1 S5 Th1 U1,1
46729,Br4 Ce10 Ga5,0
46730,Ba2 Cu4 O8 Y1,2
46731,Dy1 Ga1,0
46732,O4 Sn0.2997 Ti0.6003 Zn2 Zr0.1,1
46733,Fe1.4 Mg1.3 O4 Sn0.3,1
46734,Ba2 O3 Pd1,0
46735,Bi3.5 Fe3 O12 Pb0.5 Sr2,1
46736,Ba1.6 Cu3 Eu1.4 O6.61,3
46737,Cu1 Nd0.17 O2 Sr0.83,1
46738,Dy1 Rh1,0
46739,Cd4 Se6 Si1,0
46740,Al1 Ge1 O5 Y1,0
46741,Cr1 Si1 W1,1
46742,Ga1 O5 Pr1 Sr2,1
46743,As1 Se1 Sm2,1
46744,In20 Lu10 Rh8.87,2
46745,Cu1 O4 S1,0
46746,Cu1 Se1 Tl1,0
46747,Ge9 K4,2
46748,As4 O12 Tl2,0
46749,Fe0.9 Ge0.9 Mn0.9,3
46750,F31 K7 Th6,2
46751,Ge4 Mn4 Tb3,0
46752,Ba7 Ca2 Mn3 O20 V2,0
46753,Fe11 Re1 Y1,1
46754,Ca1.333 Se15.996 Sm10.664,1
46755,K9 Ni2 O7,0
46756,Ca2 O7 Ta2,0
46757,Ca2 Sn1,0
46758,Cu1 O6 Sr2 Tl2,2
46759,Ca1 Cu3 Mn0.5 O12 Ru3.5,1
46760,Hg44.5 Sm11,0
46761,Pr1 Ru1 Si1,0
46762,Cs7 Fe7 O34 P8,0
46763,Ag0.112 Au0.888 Te2,1
46764,Fe1 Nb4 P1,0
46765,Mn0.51 Ni2.49 Y1,1
46766,Cu1 Mg4 Tb1,0
46767,Cd1 Ho4 Se7,1
46768,Ag1 As2 Ce1 Zn1,1
46769,Ca0.8 Cu2 O7 Pb0.5 Sr2 Tl0.5 Y0.2,1
46770,Hg1 In2 Se4,0
46771,Ba1 Ir0.3 Mn0.7 O3,1
46772,B2 Ru1 Tm1,0
46773,Cl1 Cs6 Ho21 Te34,0
46774,Ca16.5 Mo13.5 O40,1
46775,Eu1 Zn13,0
46776,Al1 Sr1,0
46777,Fe3 K4 Mg1 O20 P5,1
46778,Ca0.3 Cu3 O8 Pb2 Sr2 Y0.7,1
46779,Fe0.5 La1 Ni0.5 O4 Sr1,1
46780,Bi1 O5 Pb1 V1,0
46781,Ba2 Cu3 O8 Pb2 Y1,2
46782,Ca2.6 La0.4 Mn2 O7,1
46783,Al23 K8 Sn23,1
46784,La1 Mg0.667 Nb0.333 O3,1
46785,Fe0.6 Ni0.4,1
46786,C2 Ge2 La5,0
46787,C1 Ce0.3 U0.7,1
46788,C0.85 Al0.495 W0.505,3
46789,Al2 Fe1 Se4,0
46790,Se3 Ti8,0
46791,C2 Eu0.5 Sr0.5,1
46792,Ge1 Ni2 O4,0
46793,Li0.1 Mg5.9 Mn1 O8,1
46794,Cu1 La1.85 O3.96 Sr0.15,3
46795,Cd2 Mo15 Se19,0
46796,Bi1 I1 O2 Sr1,0
46797,Ge2 Li1 Yb1,0
46798,W0.965 Zr0.035,1
46799,Ga21 Ni10 Tm4,0
46800,Ba1 Ca1 Co4 O7,0
46801,Fe0.5 O3.44 Ru0.5 Sr2,3
46802,Cs0.49 Nb1 P1 S6,2
46803,Ni1 Sb1,0
46804,Nb2 O7 Pr1 Rb1,0
46805,K2 Ni4 O15 P4,0
46806,Co0.5 Li2 O3 Ru0.5,1
46807,Al1 Co1 Gd3 S7,0
46808,Cr0.2 Fe0.8 Nd1 O3,1
46809,Cs2 F12 K1 Ti3,0
46810,Co0.333 Nb0.667 O3 Pb1,1
46811,Cu1 La1.85 O3.6 Sr0.15,3
46812,F5 K1 Tb1,0
46813,As6 Ge2 Na10,0
46814,Ga16 Ru7 Ti6,0
46815,Ga10.82 K1.52 Na0.18 O17,3
46816,Cd1 Zr1,0
46817,As1 Cs1 Cu2 S3,0
46818,Ge1 Mn1 Yb1,0
46819,Al4 Ca3 O10 Zn1,1
46820,Cs2 Se6 Sn2,0
46821,Bi3 Na3 O8,3
46822,Cl1 Eu0.01 O12 P3 Sr4.99,1
46823,Cr3 K3 O16 P4,2
46824,C1 Er5 Si3,0
46825,Cu6 Ga5 Mg2,0
46826,K1 Mn1 O4 V1,0
46827,Al0.2 Si0.8 V3,1
46828,F6 Li2 V1,0
46829,Sb1 V3,0
46830,Bi3.55 Mn8 O29.75 Sr12,2
46831,La0.5 Mo6 Se8 Yb0.5,1
46832,Gd13 Zn58,0
46833,Ca1 P2 Ru2,0
46834,Dy2 Fe21 Mo3,1
46835,Co0.2 Dy1 Ga1.8,1
46836,Fe0.0834 Li0.1457 Nd0.375 O0.7921,2
46837,Ga6 Y1,0
46838,Ce1 Pd2 Zn3,0
46839,Al3 Gd2 Ge4,0
46840,Co8.8 In7 Lu3,2
46841,Cs3 Sb7,0
46842,Fe8.5 Ga8.5 Sm2,1
46843,As2 Li2.3 Mn2,2
46844,Te1 Zr0.92,2
46845,B4 Co2 Mo1,0
46846,Cr1 Eu1 O4,0
46847,Ge3 Nd4 Rh4,0
46848,Cs1 Ga7,0
46849,Ni2.45 O1 P3 Th2,2
46850,Be2 Ca1 P2,0
46851,N4 Th3,0
46852,C2 I5 La4,2
46853,P4 S5,0
46854,Ba2 O8 P2 Sr1,1
46855,Al5 Mo2 Ni1,1
46856,Al0.1 Ca0.03 Cr0.02 Fe0.16 Mg1.75 O6 Si1.94,1
46857,Cu1 Ge1 In1 Se4,3
46858,Al103.18 Mn25.6074 Zn23.1686,1
46859,Cs1 O8 V3,0
46860,Dy1 Ga3 Mn0.26,2
46861,Ca1 La4 O15 Ti4,1
46862,Cu5 Rb2 Te5,0
46863,In1 Ir1 Y4,0
46864,Cu1 Mn0.5 Se2 Zr0.5,2
46865,Co0.06 In2.94 La4.875,3
46866,Ba1 Ca0.4 Ga2 O7 Sr0.6 Zn2,1
46867,In6 S7,2
46868,Co0.6 Na0.69 O2 Ru0.4,3
46869,Nd1 Rb1 S4 Si1,2
46870,Gd2 Se2.94,2
46871,K0.125 La0.875 Mn1 O3,1
46872,Nd2 O5 Ti1,0
46873, Ag0.004 Bi0.004 Ca0.03 K0.456 Na0.492 Nb0.896 O3 Sb0.064 Zr0.038,3
46874,Ba2 Fe1 Mn0.5 O5.99 W0.5,3
46875,Eu1 Rh2 Si2,0
46876,Cl1 K1 Mo2 O7 Rb2,1
46877,Cl14 Ga4 Te4,0
46878,Al4 Li2 O7,3
46879,La1.72 Li2 Nb0.66 O10 Ti2.34,3
46880,Au2 In1 Lu2,0
46881,Na2 Se9 Ti2,0
46882,Co6.5 Nb6.5,1
46883,Li3.81 S4 Sb0.15 Sn0.85,3
46884,Ba2 Cu2.8 Ni0.2 O6.85 Y1,3
46885,Ba1 Fe3 Mn3 O11,2
46886,Bi2 Cl1 O4 Y1,0
46887,Ga5 In1 Na2 Se10,3
46888,Ge12 La1 Pt4,0
46889,B2 Ba1 K1 O6 Sc1,1
46890,Cl5 Cs3 Hg1,0
46891,Al1.96 Bi2 Ga2.04 Se8,1
46892,Ag3 P2 S8 Y1,0
46893,Ba1 Bi2 Br2 O5,2
46894,F6 K1 Rb2 Rh1,0
46895,In21 Pd10 Sm4,0
46896,Ce1 O12 P4,0
46897,Al1 Ni2 Tm2,0
46898,Al4 Ca1 La1,1
46899,Ca1 Cu9 Sn4,0
46900,Cu1 Ga1 Pt2,0
46901,K0.314 Mn0.985 O2,2
46902,Dy1 Zr1,1
46903,Co1.9 Dy1 Ga0.1,1
46904,Ag0.4 Ca1 Si1.405,3
46905,K0.56 Ni0.52 O2 Sb0.48,3
46906,F2 Mg4.09 Na3 O22 Sc0.91 Si8,3
46907,Fe0.01 Sn0.99 Te1,1
46908,Er1 Fe11.35 Nb0.65,1
46909,Cu0.8 Dy1 Ga1.2,1
46910,Ba1 Fe2 O5.202 Sm1,2
46911,Cd58 Gd13,0
46912,Cr1 Fe2 Mn1 Ti0.4 Zr1.6,1
46913,Ge2 Pd2 Th1,0
46914,Fe1 La5 Pb3,0
46915,Cs1 Eu1 F3,0
46916,In4.76 La3.92 S13,2
46917,Br3 Cu1 Rb2,0
46918,B3 Cd4 Eu0.2 Gd0.8 O10,1
46919,La0.7 Os2 Th0.3,1
46920,O4 Sn3,0
46921,B7 Cl1 Ni3 O13,0
46922,Eu0.8 Ni1 O4 Sr1.2,1
46923,Ce0.504 O1.988 Pr0.496,3
46924,Al1.5 Cu3.5 U1,1
46925,Ba2 Cu2.9 La1 O6.74 Zn0.1,3
46926,Al6 Fe11 Nd1 Tb1,1
46927,Na8.12 O18 Si6 Y1.293,3
46928,Ba0.7 O3 Sr0.3 Ti0.95 Zr0.05,3
46929,Ce1 Sb2 Zn0.65,2
46930,Li1 S3 Sb1 Sr1,0
46931,B7 Mn1 Tb3,0
46932,Ba0.375 Mg1 O8 Si2 Sr2.625,1
46933,Al1.18 Ba0.19 K0.59 Na0.22 O8 Si2.82,1
46934,Ge1 La1 Ti1,0
46935,Cu1.4 Mn4.6 Sm1,1
46936,Ba1 Na1 Nd1 O7 Si2,0
46937,B4 Cr3 Eu1 O12,0
46938,Ce1 Cu0.987 O1 S1,2
46939,B1 Ce1 Rh3,0
46940,Ag1 Ni1 Se2,0
46941,La1 Li2 N1 O6 Ta2,1
46942,Ni2 Si1 Ta3,0
46943,Ge2 O7 Tb2,0
46944,Na1 Rb1 S1,0
46945,Gd1 Ge1 Si1,1
46946,Bi0.3 Fe0.3 O3 Pb0.7 Ti0.7,3
46947,Cl18.45 Ni34.48 O90 Te32,2
46948,Fe3 N1 Zn1,0
46949,Ga1 Mn1 O5.52 Sr2,2
46950,Ga2 Mn4 O12 Y2,1
46951,As4 Ba3 Zn2,0
46952,Ge4 Pr3 Rh4 Ta1,0
46953,Al0.8 Fe1.2 Mg1 O4,1
46954,Al16.726 Cr0.274 Na1.905 O25,3
46955,Al9 K9 O72 Si27,3
46956,Bi1 Cl1 O1,0
46957,Fe1 O12 P3 Rb2 Zr1,1
46958,Ge7 Ni16 Ti6,0
46959,Cu1 Ga3 Sc2,1
46960,Dy0.9 K0.1 Mn1 O3,1
46961,Fe3 S1,0
46962,Ho1 Ni1 Sn1,0
46963,Gd0.08 O1 Zn0.92,1
46964,Co7.2 Sn8 Zn2.9,3
46965,Co0.06 Li0.9 Ni0.938 O2,3
46966,Ba0.88 Fe9.84 Mg0.3 O18.41,3
46967,Al2 Ca0.5 Gd0.5,1
46968,C6 Mn1 N6 Na1 Rb2,0
46969,Co0.199 Er0.00066 Li1 Mn0.199 Ni0.596 O2 Zr0.007,1
46970,Ce0.25 Tb0.75,1
46971,Mg0.62 Ni1.38 O4 Si1,1
46972,Bi1 La1 O1 S1.8 Se0.2,1
46973,Al1 Gd2 Ni2,0
46974,Cu1 P2 U1,0
46975,Ca2 Ni7,0
46976,Cs1 Nb1 O10 Pr2 Ti2,3
46977,B2.84 Er8 Si17.16,1
46978,Fe1 Gd0.1 La0.9 O3,1
46979,Er0.55 Gd0.45,1
46980,I4 S14 Se2 Sn1,1
46981,Ho2 O7 Sn2,0
46982,B4 Dy1 Mn1,0
46983,Al0.76 Nb1 Ni1.25,1
46984,C2 Er1 W1,0
46985,As1.5 Li1 O12 P1.5 Zr2,1
46986,Ba1 Ca1 Sn1,0
46987,Al14 Ca12 O33,2
46988,C2 Dy1 Mo1,0
46989,Hf6 O17 Ta2,1
46990,Cd0.5 Se1 Zn0.5,1
46991,Ag2 Bi2 Cl2 S3,0
46992,Ce1 Mg1 Ni4,0
46993,Ga6.5 Ni1.5 Sm2,1
46994,Al2.17 Au2.83 Sr1,1
46995,Ca0.97 Fe0.15 Mg0.85 Na0.1 O6 Si2,3
46996,Ba2 Nb3.5 O9 V1.5,1
46997,Ag0.9 La3 S7 Si1,2
46998,Er2 Ge4 Mn1 O12,1
46999,Ba3 Na1 O20 Si6 Sm3,0
47000,C0.04 Al0.9 Mn1.1,1
47001,Ba1 In1 O6 Sc1 Sr2,1
47002,Al5.03 Ca1 K1.03 Mg1 O36 Si12.97,3
47003,Pt2 Si2 U1,0
47004,Li2.48 O8 Ti3 Zn1,3
47005,Ga2 Hf1 Zn1,1
47006,La1 Ni4.6 Sn0.21 Zn0.19,1
47007,Ca0.4 Cr1 O3 Sr0.6,1
47008,F10 I6 Rb6 Sn5,0
47009,Ca0.83 F1 Mn1 Na1.17 O8 Si2 Ti0.612 Zr0.388,1
47010,Co1.5 Rh0.5,1
47011,Ag1 Mn6 O24 P7,0
47012,Bi3.54 Nb7.09 O22.7,2
47013,Eu0.03 F1 Gd1 Na1 O12 P3 Sr2.97,1
47014,Ag1 Gd1 Te2,2
47015, Al1.432 Cr0.554 Fe0.286 Mg0.717 Mn0.003 Ni0.005 O4 Si0.004,1
47016,Re1.4 V0.6 Zr1,1
47017,B4 W3.2 Y0.8,1
47018,Li7 Mn1 P4,1
47019,Fe1 O0.04 Se0.46 Te0.5,3
47020,Fe1 Tc1,1
47021,N2 O24 Si6 Sm10,1
47022,O6 Pb2 Sb1 Sc1,2
47023,Cs1 In7 S9,2
47024,Er1 Fe2,0
47025,Fe2 K1 Se3,0
47026,Ce2 O7 Sn2,0
47027,Cl4 Cu3 O12 Te4 Yb2,0
47028,Mn0.303 Se1 Zn0.697,1
47029,Mg2 Si7,0
47030,Ca0.7 Mn1 Nd0.3 O2.99,3
47031,Li1 Na1 O4 S1,0
47032,La1 Nb0.703 O4 V0.297,1
47033,Hg3 Te4 Tl2,0
47034,Ga13.82 Si32.18 Sr8,3
47035,Ru1 S3 U1,0
47036,Ce1 Mn2.1 Ni2.9,1
47037,O1.96 Sc0.08 Zr0.92,3
47038,Mo0.04 O3 V1.96,1
47039,Ca1.15 Cu2 La1.649 O6 Y0.201,1
47040,Bi0.3 Ce0.7 O1.85,3
47041,Na2 O13 W4,0
47042,Hf1 Pb1 Se4 Tl2,0
47043,K1 S2 Yb1,0
47044,La10.77 Nb5 O20 S10,2
47045,In2.693 S4,2
47046,O2 Sb0.2 Sn0.8,1
47047,B4 Lu0.5 Rh4 Y0.5,1
47048,As3.738 P10.262 Pb2,1
47049,Co1 Fe1 Sn1,1
47050,Fe11 Tb1 Ti1,1
47051,Br0.52 Cl0.48 Na1 O3,1
47052,Ba2 In1 O6 Ta1,0
47053,K3 O9 P2 Ta1,0
47054,B4 Co11 Tm3,0
47055,Co0.64 Ge7 Sm4,2
47056,Ga3 Pt1 Sm1,1
47057,Ho2 Pb3 S12 Sn3,0
47058,Nb7 P4,0
47059,Er0.01 Mo1 O4 Sr0.99,1
47060,Ca1 Co0.75 Ni0.25 O6 Si2,1
47061,Fe1.6 Se2 Tl1,2
47062,Ag0.39 Pd0.61,1
47063,Ge4 O12 Y2 Zn1,1
47064,Cu27 Ge6 S32 V2,2
47065,Ga5.282 La3 O14 Si0.718,1
47066,Ho1 Sn6 V6,3
47067,Fe8.92 Gd0.34 Mo2.68 Nd0.66,3
47068,Ga1 K1 O7 P2,0
47069,Er14 In3 Pd3,0
47070,Bi1 K2 Rb1 Se3,0
47071,Cr4 S8 Tl1 V1,1
47072,Cr2 Fe10 Lu1,1
47073,Bi1 F1 O6 Pb1 Se2,0
47074,Gd2 Mg3 Ni2,0
47075,Ba1 Fe0.8 O2.83 Ti0.2,3
47076,Sr5 Tl3,0
47077,Ni1 O4 W1,0
47078,Ag1 Nb0.5 O3 Ta0.5,1
47079,N2 Ti1 Zr1,1
47080,Ag2 Er1 In1,0
47081,Al41.4 Cr5.6 Tb6,1
47082,P1 Re2,0
47083,Ca2 Ge1 Pt2,0
