,formula,disorder
47,Cd0.2 La0.8 Mn1 O3,S
48,Bi1 I3 O9,O
49,  Al1.8346 Cr0.0786 Fe0.2212 Mg0.775 Mn0.0002 Ni0.0138 O4 Si0.0006 Ti0.0004 Zn0.0073,M
50,Er0.4 O4 Si1 Th0.6,S
51,Cs3 Hg20,O
52,Ga0.1 Ni2 Zn10.587,V
53,Ho1 K1 Mo2 O8,O
54,P8 Th3 U3,S
55,Ge3.2 O34 Si13.8,S
56,Ca9.72 Cl1.04 F0.4 O24 S3 Si3,M
57,C5 F3 K2.7 O15 Pb5.15,M
58,Dy16 In14 Ru5,O
59,Ga1 Ho1 Pd1,O
60,C1 B2 Yb1,O
61,Cr0.26 N1 Zr0.74,S
62,Al8 Ce1 Co1.33 Fe0.67,S
63,Cu1 S3 Ta1,O
64,Al1.9 As1.1 K0.9 Na0.1 O8 Si0.9 Zn0.1,S
65,Pb1 S4 Y2,V
66,Au0.98 Si3.02 Yb2,S
67,O5.96 Pb2.667 V1.333,M
68,As4 Na4.21 Si1 Sr1.79,S
69,Fe1 Mn1 Ti0.3 Zr0.7,S
70,Rh1 Sn1 Tb1,O
71,Be17 Hf2,O
72,Ca0.38 Co1 O2,V
73,Al5.97 Bi2 Mn1.03 O14,S
74,Ag5.42 Ba0.8,M
75,Fe1 Ho1 O6 W1,O
76,Ce0.06 Li3 O12 P3 Sc1.94,S
77,Co1.52 V0.48 Zr1,S
78,Gd1 Ni2 Sb2,O
79,Eu1 In2 Ni9,O
80,In1 Tl1,S
81,Ce1 Fe4 Pu1,S
82,Mo0.181 Pd0.819,S
83,Ba1 Co0.5 O3 Ta0.5,S
84,La4.86 Rh8 Sn20 Y5.14,S
85,O6 Tb1 V1 W1,O
86,Cl11 Dy5,O
87,As1 Co0.25 Li0.5 O5 Ti1,M
88,C9 Co3 O9 S1,O
89,Fe3 Te3 Tl1,O
90,Bi6 O15 P2 Zn1,O
91,Ca0.12 Fe1.1 Mg0.78 O6 Si2,S
92,C2 Ca0.997 Fe0.676 Mg0.273 Mn0.054 O6,M
93,Ce0.15 Mn1 O3 Sr0.85,S
94,Bi0.04 In0.96,S
95,As2 Fe1 V1,S
96,Fe21.33 Li9.07 O32,M
97,B1 Cl1.27 I10.73 Zr6,M
98,Bi2 Cu2 O8.5 Pr1 Sr2,V
99,Al1 Cl4 Na1,O
100,Ca10 O24 P6 S1,V
101,Ho1 Th1,S
102,Ba1 Fe4 O7 Tm1,O
103,Ba0.5 Ca0.2 Cr0.2 Cu2.8 O6.84 Sr1.5 Y0.8,M
104,Ca10.062 O28 P7 Yb0.293,M
105,Mo4 Na3 O24 P5,V
106,Co5 Pr1,O
107,Ce1 Cu2 N12 O24 Tl5,O
108,Fe1 Ti1,O
109,Ba0.5 Ca0.5 Fe12 O19,M
110,Eu1 Li2 O8 Sm4,V
111,C1 Er15 Si9,O
112,Ho1 Pt2 Si2,O
113,F3 Fe7 Na7 O24 P6,S
114,Co1.5 Re0.5 Zr1,S
115,Cr1 P1 Pd1,O
116,As3.5 Ge1.25 In1.25 K1.25,S
117,Fe1 N0.0935,V
118,Bi4 Fe0.67 O11.44 V2.69,M
119,Ba9 Cl2 Cu7 O15,O
120,O12 Rb3 S3 Tm1,O
121,Cu1.2 O29 V12,V
122,F1.08 La2 Ni1 O3,M
123,In0.7 O6 Sb1 Sn0.3 Sr2,S
124,Ag16 I12 O7 P2,V
125,Nb2 O8 Zn3,O
126,Fe1 Ho1 Ni1,S
127,Cu0.99 Pb0.01,S
128,Fe1.25 Ni0.75 O6.552 Pr0.1 Sr2.9,M
129,Al92 In88 O384 Si100,M
130,Al4 Ca0.99 Eu0.02 Lu1.97 O12 Si1,S
131,Dy1 O6 Re1 Sr2,O
132,Ca2 Na1 Nb4 O13 Rb1,S
133,Be17 Zr2,O
134,Li1 Nd1 O12 P4,O
135,Ba0.5 Co0.25 Mn0.75 Nd0.5 O2.7,M
136,Ca1 Mn7 O12,O
137,La0.1 Mg2 Y0.9,S
138,Fe1 Li1 O4 Ti1,M
139,Ba1 Ga0.35 In0.65 O2.5,M
140,Fe16 N2,O
141,Ba7 Li2 O40 P12 Pb2,O
142,Co1 Si2 Zr2,O
143,B2 Hf2.83 Ru5.17,S
144,Ga1 Mn2 V1,O
145,C0.875 Ba2 Cu1 In0.125 O4.937,M
146,C0.29 Al1 Ni3,V
147,Bi3.114 Na0.886 O9.792 V2,M
148,Ba2 Ca0.07 Cu3 O6.85 Y0.93,M
149,Hf1 W4 Zr1,S
150,Ce0.03 Cu1 La1.2 O4.102 Tb0.795,M
151,Ce1 Cu6 In6,M
152,Ge0.8 Sb0.133 Se0.333 Te0.667,M
153,Al1.05 Cu0.95 Zr1,S
154,As2 Ca1 O6,O
155,Al1 Sm1,O
156,Fe0.62 Li0.8 Mn1.52 O4,M
157,Ba2 I1 O4 P1,O
158,Br3 Cu1 Rb1,O
159,Co0.4 Ge1 Mn1 Ni0.6,S
160,N2 Se1 U2,O
161,B1 Br6 Tb4,O
162,B1 Co4 Fe10 Pr2,S
163,In0.17 O3 W1,V
164,N4 W4.6,V
165,Ag1.5 In1.5 Mo3 O12,S
166,Gd1 K3 O8 P2,O
167,Ag0.66 Ce1 Si1.34,S
168,Fe1 S0.2 Te0.8,S
169,Fe3 Sc2 Si5,O
170,As1 Os1 P1,S
171,As2 Ca0.696 Co1.88 Eu0.304,M
172,Mn0.25 Ni0.75 O1,S
173,Ba1 O3 Sm0.667 W0.333,S
174,Al11 Fe6 La2,S
175,Au1 Ce1 Ga1,O
176,B1 Ni3 Zn2,O
177,Hg1 Se1,O
178,Cl1 Cu1 In2 Te3,M
179,Co0.06 Li1 Ni0.94 O1.792,M
180,C2 Nd1 Ni1,O
181,Ag1 Ge1 Sr1,S
182,Na2.54 O36 P9 Sr0.23 Zr6,M
183,Cd0.16 Cu3.84 Se8,S
184,Li1 Mo2 Na3 O8,O
185,Cr0.6 Fe1 O4 V1.4,S
186,Cu0.04 Na1.92 O7 P2 Zn1,M
187,Nb30 O90 Rb12 W3,S
188,B2 Eu2 O5,O
189,Ag1 Au3 I8 Rb2,O
190,Ge2 Np1 Rh2,O
191,Al12 K12.6 O48 Si12,M
192,Ba1 Cu3 Nd1 O7.02 Sr1,M
193,Cs4 I13 Os1 Pr6,O
194,Fe0.23 Mg0.77 O1,S
195,I15 W5,O
196,Co2 Cu1 S3.2 Se0.8,S
197,Ba3 Nb1 O8.5 W1,M
198,Cd1 Ho4 S7,S
199,Mn1.6 Si0.2 V0.2,S
200,Sb1.8 Sn0.2 Th1,S
201,La0.2 Mn1 O3 Pr0.8,S
202,Al1 Hf1 Ir1,S
203,B1 Co12 Si2 Y2,S
204,Cu3 Pd2 Pr1,S
205,Dy2 Ge5 Ru3,O
206,Na1 O5 Te1 V1,O
207,Mn0.3 Pd0.7,S
208, Al1.254 Cr0.641 Fe0.347 Mg0.746 Ni0.003 O4 Si0.003 Ti0.005 Zn0.001,S
209,Al0.75 Co3.25 Tb3,S
210,Ga1 Sb1 V6,S
211,C0.75 Mo1,V
212,Br3 U1,O
213,Br12 Se17 Ta2,O
214,C1 Al1 Ce3,O
215,Cu1 Rb2 S12 Sb7,V
216,Fe1 Na0.667 O4 P1,O
217,Nd1 Se2 Tl1,O
218,Ba1 O17 Si5 Y4,O
219,La1 O3 Tl1,O
220,Al1 Ca1 F6 Li1,O
221,In5 S6 Tl1,O
222,Ba8 Cl34 Eu7,O
223,Cs0.202 O2.716 W0.786,V
224,Ba8 Ge45.2,V
225,Os1 Y3,O
226,Cu1 Eu1 Ge1,O
227,Ca2 Mn1 O6 W1,O
228,Mn1 O3 Pr0.5 Sr0.4 Y0.1,S
229,Cu3 La1 O12 Ru2.25 Ti1.75,S
230,In2 Ni1 Tb1,O
231,Nb1 Ni1 V1,S
232,Fe3 O38 Sr1 V18,O
233,B1 Fe14 Lu1.6 Sc0.4,S
234,Fe1.6 Mn0.4 Na3.4 O12 P3,M
235,Bi0.75 Li0.75 Mg1.25 Pb0.25,S
236,Li1 O3 V1,O
237,La3 Ni1 Si3,S
238,As2 Si1 Sr1,O
239,Ba3 In2 O16 P4,O
240,Ge1 Ni0.5 Pd0.5 U1,S
241,Si1 Tb1,O
242,Br8 Cl1 Re3,S
243,Al0.538 Ca3 Cr1.462 O12 Si3,S
244,Ag0.736 Cu0.297 In1.011 Te1.956,M
245,Ca0.5 Mn0.5 Nd0.5 O3 Ti0.5,S
246,K1 Li4 Nb1 O5,O
247,Ce2 Ge5 Li1,V
248,Ge3.204 In0.4005 Sb0.1335 Te4.005,M
249,Be1 F4 Li1 Tl1,O
250,Eu1 P7,O
251,Br3 Fe7 O18 P3 Sb3,O
252,Au2.96 In1 Pt0.04,S
253,Ba1.6 Cu3 La0.4 Nd1 O7.066,M
254,Ce1 Dy4 S7,S
255,Dy1 Ge1 Pd2,O
256,Ge2.4 Na4 Si1.6,S
257,S4 Sr1 Tm2,O
258,Pb3 Zr5,O
259,O7 Tm2 V2,O
260,Al16 K14.93 O80 Si24,V
261,Au1 Dy2,O
262,Fe1 Ga1 U1,S
263,Ga2 Nd1 Ni3,S
264,C1 Al1 Ta1 Ti1,S
265,Cu0.98 In0.98 Se2,V
266,Bi6.05 Cu1.95 Pb1.95 S12,V
267,K0.433 Na0.567 O5 P1 Ti1,M
268,Cu1 Ga1 O4 Yb1,M
269,Cr1.86 Fe1.14 Se4,S
270,Ba6 Ga2 S16 Zn7,V
271,O6 Pu1 Te2,O
272,B1 Mn1.41 Ni1.59 O5,S
273,Al0.5 Co0.5 Li1 O2,S
274,Cs1 O3 V1,O
275,Ag0.8 Se1.95 Sn1.2,M
276,Co1.5 Eu0.63 Fe2.5 Sb12,M
277,Na1 Rb3 Se8 Sn3,O
278,Br4 O7.69 Sb4 Zn3.6,V
279,Al2 Ba6 O15 Rh4,M
280,Ba2 Li2.82 Lu2.74 Mo8 O32 Tm0.44,S
281,Ag0.15 La0.5525 Mn1 O3 Pr0.17,M
282,As4 Pa3,O
283,Co12 P7,O
284,B309.91 Cr7.55,V
285,Ce0.875 O4 Sr0.125 V1,S
286,Au3.5 Ga7.5 La3,S
287,Sc0.86 Si1.76 Y0.14,M
288,Al1.74 Ca2.988 Fe0.256 O12 Si3,M
289,Ba1.5 Cu3 La1.48 O7.16,M
290,La6 Mg23 P1,O
291,Cs2 S5,O
292,Au0.75 Ir0.25 Nb3,S
293,Bi0.05 Ca0.35 La0.6 Mn1 O3,S
294,Ba2 Cu1 Hg1 O4.136,V
295,Ba2 Ca2 Cu3 O9.784 Tl1.82,V
296,La1 Pb3,O
297,C1.6 B36 Ho2 Si8.4,M
298,Ag1 Nb5 O15 Pb2,M
299,Cu0.96 Ge1.04 P1.11 S0.89,S
300,As1 Mn0.6 Ni0.4,S
301,Ba2 Cu2.85 Ni0.15 O6.93 Y1,M
302,Ba1 Ge2.5 O9 Si1.5,S
303,Cu2 Er0.67 Te2,V
304,Ni0.7 Ru0.3,S
305,Be12.623 Ga0.377 U1,S
306,La2 Nb2 O8 S2 Ti1,S
307,Cs2 Pd3 Se4,O
308,Be2 Cr2 Er6 S14,O
309,Co2.1 Ti0.9,S
310,O3 Rb1,O
311,Al1 Mg0.5 O4 Si1,M
312,Ge1 Pd2 Tb1,O
313,C0.96 O0.04 Zr1,S
314,Eu0.04 O4 Sr1 W1,S
315,Ba2.058 Cu2.943 Li0.057 O6.95 Y0.974,M
316,Er4 Ge6 Rh7,O
317,La2 Ni3,O
318,Al1 Co2 U2,O
319,Sn4 Sr1,O
320,Nb1 O4 Yb1,O
321,Fe0.99 S1,V
322,La1 Mn1 O3.27,O
323,K3 Mo1 O8 Re1,S
324,Cd1 In2 Te4,M
325,Ce4.67 O13 Si3,V
326,Ge1 Mn1 Sc1,O
327,Ba1 Nb0.016 O3 Ti0.976 Zn0.008,S
328,Cu3 Ir2 Na1 O6,S
329,Cl1 Eu1 O1,O
330,As7 Ni12 U2,O
331,Cr2 Si2 Tb1,O
332,As0.67 Cu3 S4 Sb0.33,S
333,Cu1.999 Fe1.001 Ho1 O7.4 Sr2,M
334,Nd4 O9 Sr3,S
335,Al0.081 La3 Li6.46 O12 Zr2,M
336,O7 Pb2 Sb2,O
337,Pd7 Se4,O
338,Ba2 Ca5 Dy18 O36 Zr1,M
339,Ga1 O4 Sb1,S
340,Ni0.57 Sb2 Y1,V
341,C0.79 O0.13 Zr1,M
342,As4 Fe4 La0.44 Na0.56 Rb1,S
343,Fe3 La1 O9 Sr3,M
344,Mo1 O4 Pb1,V
345,Hg1.81 In1.19 Sr1,S
346,Br1.049 Ca2 Cu1.011 O10 Ta3,O
347,F2 Sb2 Se4 Sr2,O
348,S3 Ti2,V
349,B8 Ba4 O24 Sc2 Zn5,V
350,P4 Rb4 S24 Ta4,O
351,La0.025 Mn1 O3 Sr0.975,S
352,Ba2 Cu1 O5.68 Tl1.996,V
353,Cl5 Mo1,O
354,Ba1.45 Ca0.3 Cu3 La1.25 O6.94,M
355,C8 Cl2 N8 S3,O
356,Fe27.6 Nd3 Ti1.4,S
357,Fe9.76 Mo2.24 N0.75 Y1,M
358,Br3 Nd1,O
359,As1 Ce1 Ni1 O1,O
360,Ni3 Sn2,V
361,Al0.2 Co1 Fe1.8 O4,S
362,Cl6 Ga1 O2 Re1,O
363,Ag2 Si2 Tb1,O
364,Cr2 Ga4 Hf3,O
365,F1 Gd1 O1,O
366,Ba2 Ge1 Se2 Te2,O
367,Bi5 La3 Ti1,O
368,Co2.5 Fe2.5 Th1,S
369,Ag1 Ba1 Fe1 O8 V2,V
370,La1 Mn1 O6 Ru1 Sr1,S
371,Cu1 Tb1 Tl1,S
372,B3.33335 Er6.00003 S14.00007,V
373,Cr2 N2 O24 Si6 Sm8,S
374,Re4 Si2 Y1,O
375,Ba1.4 O6 Os1 Sr0.6 Y1,S
376,Ba3 Ir1 Lu1 O9 Ru1,S
377,As1.42 Ba1 Fe2 P0.58,S
378,Cr0.25 Cu1 Fe1.75 O4,S
379,Nb0.151 Ni0.849,S
380,B4 Bi0.037 Fe3 Ho0.963 O12,S
381,Co0.2 Li0.972 Ni0.828 O2,S
382,Ga0.5 Ge1 Li2.5 O4,S
383,I6 O18 Sn1 Sr1,O
384,Cs3 Mn2 O4,O
385,Al12 O48 Si12 Tl3.4 Zn4.3,M
386,Cl14 Cu2 Mo6,O
387,Ge4 In5 La11 Li1,S
388,As3 Nd1.25 Ni4 Zr0.75,O
389,Co6 Ge6 Tm1,O
390,Fe11.6 La1 Si1.4,S
391,Ba2 Cu1 Hg0.96 O4.34,V
392,Co2 Gd4 Mg3,O
393,Al1 Cu1.5 Mn1.5,S
394,B1 Cs0.26 K0.61 O5.98 Si2,M
395,Cs4 Cu3 K1 N11 O22,V
396,Rh1 Sn1 Yb1,O
397,Bi12 Cl6 O15,O
398,Cd5 Cu2,O
399,Cu2 F2 O3 Se1,O
400,O9 Te3 U1,O
401,C18 Ga2 O18 Re4,O
402,C2 Ti1 W1,S
403,Al1 Ge1 Na1,O
404,S4 Sm1.5 Yb1.5,S
405,Ag4.6 Al12 Na7.4 O48 Si12,M
406,As5 Ba1 Ni9,O
407,Bi1 Eu0.5 F1 La0.5 S1.2 Se0.8,S
408,C2 Ge1 Ti3,O
409,Cd0.2 In2 Mn0.8 S4,S
410,Li2 S4 Si1 Zn1,O
411,F7 Gd1 Mo1,O
412,Cs2 Se8 Sn3 Zn1,O
413,Fe1.6 Hf1 V0.4,S
414,Cs1 P2 S7 Sm1,O
415,Fe1.86 Ge1.14,S
416,Li1 Mo2 O8 Sb1,O
417,Ba2 Gd1 O6 Ru1,O
418,As0.75 Cu0.17 Ge0.21 In0.5 Se0.25 Zn0.12,S
419,C1 Ba1 I1 N1 O1,S
420,Nd5 Ru0.75 Si2.25,S
421,Ru2 Sn3,O
422,Al15.5 Co2.5 O72 P13.5 Si4.5,S
423,B2 Mn1 Mo2,O
424,Al2 Mn1 O4,S
425,In0.74 Mn1.26 Tm1,S
426,Co3 Ga2 Gd1,O
427,Ba2 F6 Pd1,O
428,Br1 Cl3 Cu1 Rb2,S
429,I2 Re6 Se8,O
430,Er2 Ga1 Ni2,O
431,C26 Co8 Ge3 O26,O
432,Ag6 Br2 Ge1 S4,V
433,Cu1 Sn1 U1,O
434,Fe3 N1 Rh1,O
435,Ba1 Cu3 La1 O7.36 Pr1,M
436,Ba1 Co0.4 Ni0.6 S2,S
437,Eu0.85 In0.15 Pt2,S
438,O4 Pb0.7 Sr0.3 W1,S
439,Br1 Cs1 I2,O
440,C3 Ce2 Ni22,O
441,B4 Ho1 Re1,O
442,Ir1 Pr3,O
443,Al3 Pt5,O
444,C1 Si3 Sm5,O
445,Ce4 Sb3,O
446,Ba3 Ga5 Li1,M
447,As1 Co1 Hf1,O
448,Cu2 Ga1 O7 Pr1 Sr2,O
449,I3 La1,O
450,Cu3 Gd2 Sn6,O
451,Cl18 K2 Mn1 Nb6,O
452,Dy1 Pd3,O
453,Gd1.12 Mg0.88 Ni4,S
454,N3 Sr2 V1,O
455,La5 Tl3,O
456,In1 Pt1 Tm1,O
457,Ga3.3 S14 Sm6,V
458,Ba0.73 Bi0.63 Er0.39 K0.25 O3,S
459,Mg0.224 S2 Ti1,V
460,Co2 Ho1 Si2,O
461,La0.6 Mn1 O3 Pr0.4,S
462,Gd5 Sb2.29 Si1.71,M
463,Fe0.5 Ga1.5 O4 Zn1,S
464,Co2 Yb1,O
465,Gd0.08 Pd0.92,S
466, Ca0.5 Ce1.2 Fe1 La1 Mn0.2 Na0.15 Nd0.15 O22 Si4 Sr1 Ti3.3 Zr0.5,S
467,Al4.52 O9.74 Si1.48,M
468,Ba1 Er6 O12 Sr2,V
469,Os0.5 Ta1.5,S
470,Gd0.5 O4 P1 Yb0.5,S
471,Co0.4 Mn0.6,S
472,B2.5 W1,O
473,Al10 Ba0.5 Eu0.5 Mg1 O17,M
474,Ce0.168 Mn1 O4 Sr1.832,S
475,Eu1 Ge1 Na1 O4,O
476,C1 Ag1 N1 O1,O
477,P4 Rb4 S14 Sm2,O
478,Al3.82 Fe1.39 K0.06 Mg0.85 O18 Si4.94,M
479,Cr1.25 Cu1 Fe0.75 O4,S
480,Cd1 Cl3 Rb1,O
481,Ca0.67 O4 Sc2 Sr0.33,V
482,O18 Ta6 Ti1 Tl2,V
483,B4 Eu1 O12 Sc3,O
484,Ba0.95 Co0.01 O3 Pb0.05 Ti0.99,S
485,Cu1 Mo0.4 O6 Sr2 W0.6,S
486,Cu1.71 Ni0.14 Ti1,M
487,Br1 K1 O4,O
488,Cl4 Cr0.09 Mn0.91 Rb2,S
489,Ca0.9 La0.1 Mn0.2 O3 Ti0.8,S
490,Co1 Ge1.5 Sb0.075 Te1.425,S
491,B4 Dy1 Re1,O
492,In5 S8 Tl1,V
493,Th1 Tl1,O
494,Br4 Th1,O
495,Co0.13 Li0.89 Mn0.54 Ni0.13 O2,M
496,Ga2 Hg5 Se8,V
497,Ce1 Ga2 Zn2,S
498,Mg0.2 Mn0.8 Na0.62 O2,M
499,Al4.12 Mn1,V
500,Ca0.2 La0.26664 Nd0.26664 O3 Ti1,M
501,F8.2 K6 O15 Ta6.88,V
502,Al1 Pd2 Sc1,O
503,Sb0.49 Sn0.51,S
504,La2 O5 Ti1,O
505,K2 O4 Zn3,O
506,Bi2 Eu1,O
507,Ca0.98 Eu0.02 Hf1 O3,S
508,Ce0.65 Nb1 O4 Sr0.35,S
509,Ba3 O7.11 Pt2.07,V
510,Li2 Mg1 Si1,O
511,C13 O12 Os4 S2,O
512,As1.23 Ca2.04 Mg0.04 Mn1.96 Na0.96 O12 Si0.03 V1.74,S
513,Fe0.25 La0.67 Mn0.75 O3 Sr0.33,S
514,Fe1.8 O4 Ti0.08 Zn1.1 Zr0.02,S
515,Al8 Gd1 Mn4,O
516,B1 Ir1 Mg1,O
517,Ba3 Ga0.676 Si4.324,S
518,O3 Sc0.0218 Ti1.9782,S
519,Mn0.2 Sb0.8,S
520,Ca0.44 Cu2 Hg0.48 O6.89 Sr2 Tb1.08,M
521,Fe2 Ga1 O4,S
522,Cs1 Cu1 In1 O18 P6,M
523,Li4 S4 Sn1,V
524,Bi4 Eu2 Mg3,O
525,Pd20 Te7,O
526,Al0.31 Cr1.18 Fe0.94 Mg0.53 O4 Ti0.04,S
527,Mn1 O7 Si2 Sr2,O
528,Ca2.85 Mn0.15 O8 P2,M
529,Pt4 Rb1 Si4,V
530,Mo6 O24 Sc1 Tl5 Zr1,S
531,K2 Ni0.5 O12 P3 Zr1.5,S
532,Cu1 Te2 Y1,V
533,Ca3 Na6 O18 Si6,M
534,Ca3 Fe1.766 O12 Si3 Ti0.234,S
535,Ce2 Co15 Ga2,O
536,Co3.5 Cu1.5 Y1,S
537,Ba1.6 Cu3 O6.99 Pr1 Sr0.4,M
538,Al1 Ca2 Mg0.5 O7 Si1.5,S
539,Ba1 Cu1 Dy2 O5,O
540,Ge13 Ho3 Rh4,O
541,Fe0.5 Ru0.5,S
542,C1 Ge3 Tb5,O
543,Al0.47 Ge1.53 Li1.47 O12 P3,M
544,C4 Ca3 Na2 O12,S
545,As1 Cu1 Sr1,O
546,Al0.24 Ge1.76 Li1.23 O12 P3,M
547,Co0.815 Li0.185 O1,S
548,Hf9 Re4 Se1,O
549,Cr0.7 Fe0.3,S
550,Ce5 Ga3,O
551,Ag1.06 Ga1.94 Y1,S
552,Gd7 I12 Zn1,V
553,Bi2 Se2 Te1,S
554,Cd8.4 Cu4.6,M
555,B4 K2 O10 P1 Rb1,O
556,B2 Np1,O
557,Fe2.87 Si0.99,M
558,Ag0.8 Ga3.2 La1,S
559,Fe0.785 Na0.765 O2 Si0.215,M
560,Dy0.9 Fe2 Tb0.1,S
561,Ga2.5 La1 Ni2.5,S
562,Cr1 F6 Ni1,S
563,Al0.32 Co0.68 Li1 O2,S
564,Ca2.68 Ce0.84 Na12.32 O28 P4 Si4,M
565,S2 Ti1 V1,S
566,K7 Nb14.13 O60 P8.87,S
567,Cu1 O2 Sr1.01,O
568,In1 S6 Yb3,O
569,Co1.97 Li4.03 O14 P4,M
570,Bi4 Cl1 Nb1 O8,O
571,La0.945 Mn0.98 O3,V
572,F1.4 Na2.54 O9.6 P2 V2,M
573,B4 Nb3,O
574,Co2 Eu1 Ga8,O
575,O7 Sr2 V2,O
576,Ga1 Mn1 Na3 S4,S
577,Ba6 Ga1 Nb9 O30,S
578,B2 F1 Li6 O6 Rb1,O
579,Cd3 Lu1,O
580,Ba0.531 K0.469 Se2.352 V1,M
581,Ca0.33 Er0.67 F2.67,M
582,Ba2 Ce1 O6 W1,O
583,K0.42 P1 S5 Ta1,V
584,Mo1 Na1 O6 P1,O
585,Ca1 Li0.58 N1 Ni0.42,S
586,Cd6 Yb1,V
587,O6 Sb2 W1,O
588,Al0.33 Ge1.67 Hf1,S
589,Cr2 Hg1 S4,O
590,Gd1.6 La0.4 O7 Zr2,M
591,Bi2 Cl1 Gd1 O4,O
592,C12 Fe8 La21 Sn7,O
593,Ni1.9 P1 Pd1.1,S
594,Al3 B4 Nd1 O12,O
595,Ag2 O11 V4,O
596,Er4 Ge4 Nd1,S
597,Bi0.67 O3 Yb1.33,S
598,As2.052 Se0.671 Te2.277,S
599,Ca8 F2 Gd1 Na1 O24 P6,S
600,Cu1 K1 S3 U1,O
601,Fe2.2 Ni1.6 Sb11.4 Sm0.23,M
602,Li0.5 O2 Ti1,V
603,La1 P2 S6 Tl1,O
604,Fe2 Na2 O0.98 S1.96,V
605,Cu0.05 Mn1.11 O3 Tb0.84,M
606,Cl12 Nb6 O2 Rb0.74,V
607,Cd0.52 Cu2 Ge1 Mn0.48 Se4,S
608,Bi0.75 Nd1.25 O6.978 Ru2,M
609,B5 Cs1 Gd4 Li2 O15,O
610,Ce1 La2 S4,S
611,P1 Ti0.5 W0.5,S
612,Co2 U1,O
613,Gd1 Ge1.63,V
614,Al2 Ca3 Ge3,O
615,Ga0.76 Hf0.24 Ni3,S
616,Ce2 P7 Ru12,O
617,Al2 Br6 N2 S2,O
618,Al0.003 Ca0.024 Mg1.433 Mn0.509 O6 Si1.997 Ti0.002,M
619,Ba2 Cu3 O6.91 Y1,V
620,Ga1.6 Lu1 Ni3.4,S
621,Cs11 Eu4 O50 P13 U2,V
622,Ba0.995 Ce0.597 O3 Pr0.399,S
623,Ga2.5 Ho2 Ni1.5,S
624,I1 O6 Rb1 Sn1,O
625,C1 B2 Ni2 Tb0.952 Y0.048,S
626,Ag1 Se1.9 Sn1,M
627,Ir0.78 O2.68 Sr0.94,M
628,Ge1 Si1 Th3,S
629,Co1 Na4 O6 Te1,O
630,Fe1.125 Te1,V
631,Al1 K0.25 Na0.75 O8 Si3,S
632,Ag1 Ce1 Pb1,S
633,Ba1 Hg3.9 In3.1,S
634,Ce0.81 O2.09 U0.19,M
635,Ag1 I2 Tl1,O
636,Nd1 O9.51 U3,M
637,Ca0.85 Cu1 O2,V
638,Ce0.72 Lu0.28 O1.86,M
639,B9 Ni15 Yb2,O
640,Al1 Hf1 Pt2,O
641,B1 Ni3,V
642,K0.98 O8 Si3.8,V
643,Li0.24 Mn0.56 Na0.602 O1.923 Ti0.2,M
644,Fe4 Nd1 Sb12,O
645,Al1 Eu0.45 F5 Sr0.55,S
646,Al5.6 Cu1 Li2.9,S
647,F6 Sc1 Tl1,S
648,O6 Sb1 Sr2 Tm1,O
649,Bi5 Mn1 Nd3,O
650,Ba2 Ca0.1 Cu3 Nd0.8 O7.04 Th0.1,M
651,N2 Ni1 O6,O
652,Al1.998 Mg0.996 O4,S
653,Ca0.91 Cu1 O2 Sr0.09,S
654,Ca1 Co1 La1 O6 Os1,S
655,C1 N2 Ni1,O
